location_id,city,state,zipcode
L10127,Omaha,NE,68102
L10128,Omaha,NE,68104
L10129,Omaha,NE,68105
L1013,Beaumont,CA,92223
L10130,Omaha,NE,68106
L10131,Omaha,NE,68107
L10132,Omaha,NE,68108
L10133,Omaha,NE,68110
L10134,Omaha,NE,68111
L10135,Omaha,NE,68112
L10136,Omaha,NE,68114
L10137,Omaha,NE,68116
L10138,Omaha,NE,68117
L10139,Omaha,NE,68118
L1014,Bell,CA,90201
L10140,Omaha,NE,68122
L10141,Omaha,NE,68124
L10142,Omaha,NE,68127
L10143,Omaha,NE,68130
L10144,Omaha,NE,68131
L10145,Omaha,NE,68132
L10146,Omaha,NE,68134
L10147,Omaha,NE,68135
L10148,Omaha,NE,68136
L10149,Omaha,NE,68137
L1015,Bellflower,CA,90706
L10150,Omaha,NE,68138
L10151,Omaha,NE,68142
L10152,Omaha,NE,68144
L10153,Omaha,NE,68152
L10154,Omaha,NE,68154
L10155,Omaha,NE,68157
L10156,Omaha,NE,68164
L10157,Overton,NE,68863
L10158,Papillion,NE,68046
L10159,Papillion,NE,68133
L1016,Belmont,CA,94002
L10160,Pawnee Cit,NE,68420
L10161,Peru,NE,68421
L10162,Pierce,NE,68767
L10163,Plattsmout,NE,68048
L10164,Ponca,NE,68770
L10165,Rising Cit,NE,68658
L10166,Riverdale,NE,68870
L10167,Riverton,NE,68972
L10168,Saint Paul,NE,68873
L10169,Sargent,NE,68874
L1017,Ben Lomond,CA,95005
L10170,Schuyler,NE,68661
L10171,Scottsbluf,NE,69361
L10172,Seward,NE,68434
L10173,Shelby,NE,68662
L10174,Sidney,NE,69162
L10175,South Siou,NE,68776
L10176,Springfiel,NE,68059
L10177,Stanton,NE,68779
L10178,Staplehurs,NE,68439
L10179,Steinauer,NE,68441
L1018,Benicia,CA,94510
L10180,Stromsburg,NE,68666
L10181,Superior,NE,68978
L10182,Sutton,NE,68979
L10183,Syracuse,NE,68446
L10184,Tekamah,NE,68061
L10185,Upland,NE,68981
L10186,Valley,NE,68064
L10187,Waco,NE,68460
L10188,Wahoo,NE,68066
L10189,Wakefield,NE,68784
L1019,Berkeley,CA,94702
L10190,Wallace,NE,69169
L10191,Waterloo,NE,68069
L10192,Waverly,NE,68462
L10193,West Point,NE,68788
L10194,Wilber,NE,68465
L10195,Wymore,NE,68466
L10196,Wynot,NE,68792
L10197,York,NE,68467
L10198,Yutan,NE,68073
L10199,Acworth,NH,3601
L102,Childersbu,AL,35044
L1020,Berkeley,CA,94703
L10200,Alstead,NH,3602
L10201,Alton,NH,3809
L10202,Amherst,NH,3031
L10203,Andover,NH,3216
L10204,Ashland,NH,3217
L10205,Atkinson,NH,3811
L10206,Auburn,NH,3032
L10207,Barnstead,NH,3225
L10208,Barrington,NH,3825
L10209,Bartlett,NH,3838
L1021,Berkeley,CA,94704
L10210,Bartlett,NH,3845
L10211,Bath,NH,3740
L10212,Bedford,NH,3110
L10213,Belmont,NH,3220
L10214,Bennington,NH,3442
L10215,Berlin,NH,3570
L10216,Bethlehem,NH,3574
L10217,Bow,NH,3304
L10218,Bradford,NH,3221
L10219,Brookline,NH,3033
L1022,Berkeley,CA,94707
L10220,Campton,NH,3223
L10221,Candia,NH,3034
L10222,Canterbury,NH,3224
L10223,Center Har,NH,3226
L10224,Chichester,NH,3258
L10225,Claremont,NH,3743
L10226,Colebrook,NH,3576
L10227,Concord,NH,3301
L10228,Concord,NH,3303
L10229,Cornish,NH,3745
L1023,Berkeley,CA,94708
L10230,Danbury,NH,3230
L10231,Danville,NH,3819
L10232,Deerfield,NH,3037
L10233,Derry,NH,3038
L10234,Dover,NH,3820
L10235,Dublin,NH,3444
L10236,Dunbarton,NH,3046
L10237,East Hamps,NH,3826
L10238,East Kings,NH,3827
L10239,Effingham,NH,3882
L1024,Berkeley,CA,94709
L10240,Epsom,NH,3234
L10241,Fitzwillia,NH,3447
L10242,Francestow,NH,3043
L10243,Franklin,NH,3235
L10244,Freedom,NH,3836
L10245,Fremont,NH,3044
L10246,Gilford,NH,3249
L10247,Gilford,NH,3810
L10248,Gilmanton,NH,3237
L10249,Grafton,NH,3240
L1025,Berkeley,CA,94710
L10250,Grantham,NH,3753
L10251,Greenfield,NH,3047
L10252,Greenland,NH,3840
L10253,Groveton,NH,3582
L10254,Hampstead,NH,3841
L10255,Hancock,NH,3449
L10256,Harrisvill,NH,3450
L10257,Hart'S Loc,NH,3812
L10258,Haverhill,NH,3765
L10259,Haverhill,NH,3774
L1026,Berry Cree,CA,95916
L10260,Haverhill,NH,3780
L10261,Hill,NH,3243
L10262,Holderness,NH,3245
L10263,Hopkinton,NH,3229
L10264,Jackson,NH,3846
L10265,Jefferson,NH,3583
L10266,Kingston,NH,3848
L10267,Laconia,NH,3246
L10268,Lee,NH,3861
L10269,Lempster,NH,3605
L1027,Bethel Isl,CA,94511
L10270,Loudon,NH,3307
L10271,Lyndeborou,NH,3082
L10272,Madbury,NH,3823
L10273,Madison,NH,3849
L10274,Madison,NH,3875
L10275,Manchester,NH,3102
L10276,Manchester,NH,3103
L10277,Manchester,NH,3104
L10278,Manchester,NH,3109
L10279,Merrimack,NH,3054
L1028,Beverly Hi,CA,90210
L10280,Milan,NH,3588
L10281,Milton,NH,3851
L10282,Monroe,NH,3771
L10283,Mont Verno,NH,3057
L10284,Moultonbor,NH,3254
L10285,Nashua,NH,3060
L10286,Nashua,NH,3062
L10287,Nashua,NH,3063
L10288,Nashua,NH,3064
L10289,Nelson,NH,3457
L1029,Beverly Hi,CA,90211
L10290,New Boston,NH,3070
L10291,Newbury,NH,3255
L10292,Newfields,NH,3856
L10293,Newton,NH,3858
L10294,North Hamp,NH,3862
L10295,Northwood,NH,3261
L10296,Nottingham,NH,3290
L10297,Orford,NH,3777
L10298,Ossipee,NH,3814
L10299,Ossipee,NH,3864
L103,Chunchula,AL,36521
L1030,Beverly Hi,CA,90212
L10300,Pelham,NH,3076
L10301,Pittsburg,NH,3592
L10302,Plainfield,NH,3770
L10303,Plainfield,NH,3781
L10304,Plaistow,NH,3865
L10305,Portsmouth,NH,3801
L10306,Rindge,NH,3461
L10307,Rochester,NH,3837
L10308,Rochester,NH,3839
L10309,Rochester,NH,3867
L1031,Big Bear C,CA,92314
L10310,Rochester,NH,3868
L10311,Rollinsfor,NH,3869
L10312,Rumney,NH,3266
L10313,Rye,NH,3870
L10314,Salem,NH,3079
L10315,Salisbury,NH,3268
L10316,Sanbornton,NH,3269
L10317,Sandown,NH,3873
L10318,Sandwich,NH,3227
L10319,Seabrook,NH,3874
L1032,Big Bear C,CA,92382
L10320,Springfiel,NH,3284
L10321,Stoddard,NH,3464
L10322,Strafford,NH,3884
L10323,Stratford,NH,3590
L10324,Stratham,NH,3885
L10325,Sunapee,NH,3782
L10326,Suncook,NH,3275
L10327,Surry,NH,3431
L10328,Swanzey,NH,3446
L10329,Tamworth,NH,3886
L1033,Big Bear C,CA,92386
L10330,Thornton,NH,3285
L10331,Tilton,NH,3276
L10332,Town of Ch,NH,3603
L10333,Town of Co,NH,3813
L10334,Town of Co,NH,3818
L10335,Town of Co,NH,3860
L10336,Town of Du,NH,3824
L10337,Town of Ep,NH,3042
L10338,Town of Ex,NH,3833
L10339,Town of Fa,NH,3835
L1034,Big Bear L,CA,92315
L10340,Town of Go,NH,3581
L10341,Town of Gr,NH,3048
L10342,Town of Ha,NH,3842
L10343,Town of Hi,NH,3244
L10344,Town of Hi,NH,3451
L10345,Town of Ho,NH,3106
L10346,Town of Hu,NH,3051
L10347,Town of Ja,NH,3452
L10348,Town of La,NH,3584
L10349,Town of Li,NH,3561
L1035,Big Pine,CA,93513
L10350,Town of Li,NH,3585
L10351,Town of Lo,NH,3053
L10352,Town of Ma,NH,3455
L10353,Town of Me,NH,3253
L10354,Town of Mi,NH,3055
L10355,Town of Ne,NH,3773
L10356,Town of Ne,NH,3857
L10357,Town of Pi,NH,3263
L10358,Town of Ra,NH,3077
L10359,Town of Wh,NH,3598
L1036,Biggs,CA,95917
L10360,Town of Wi,NH,3086
L10361,Town of Wi,NH,3470
L10362,Town of Wo,NH,3894
L10363,Troy,NH,3465
L10364,Tuftonboro,NH,3816
L10365,Wakefield,NH,3830
L10366,Wakefield,NH,3872
L10367,Walpole,NH,3608
L10368,Warner,NH,3278
L10369,Washington,NH,3280
L1037,Bishop,CA,93514
L10370,Wentworth,NH,3282
L10371,Westmorela,NH,3467
L10372,Windham,NH,3087
L10373,Absecon,NJ,8201
L10374,Alexandria,NJ,8867
L10375,Allendale,NJ,7401
L10376,Asbury Par,NJ,7712
L10377,Atlantic C,NJ,8401
L10378,Atlantic H,NJ,7716
L10379,Audubon,NJ,8106
L1038,Blairsden-,CA,96103
L10380,Avenel,NJ,7001
L10381,Barnegat T,NJ,8005
L10382,Barrington,NJ,8007
L10383,Bayonne,NJ,7002
L10384,Beachwood,NJ,8722
L10385,Bedminster,NJ,7921
L10386,Belleville,NJ,7109
L10387,Bellmawr,NJ,8031
L10388,Belvidere,NJ,7823
L10389,Bergenfiel,NJ,7621
L1039,Bloomingto,CA,92316
L10390,Berkeley,NJ,8721
L10391,Berkeley H,NJ,7922
L10392,Berlin Tow,NJ,8009
L10393,Berlin Tow,NJ,8091
L10394,Bernards T,NJ,7920
L10395,Bernardsvi,NJ,7924
L10396,Bethlehem ,NJ,8802
L10397,Blairstown,NJ,7825
L10398,Bloomfield,NJ,7003
L10399,Bloomingda,NJ,7403
L104,Citronelle,AL,36522
L1040,Blythe,CA,92225
L10400,Bloomsbury,NJ,8804
L10401,Boonton,NJ,7005
L10402,Bordentown,NJ,8505
L10403,Bound Broo,NJ,8805
L10404,Branchburg,NJ,8853
L10405,Branchburg,NJ,8876
L10406,Branchvill,NJ,7826
L10407,Brick,NJ,8723
L10408,Brick,NJ,8724
L10409,Bridgeton,NJ,8302
L1041,Bodega Bay,CA,94923
L10410,Bridgewate,NJ,8807
L10411,Bridgewate,NJ,8836
L10412,Brielle,NJ,8730
L10413,Brigantine,NJ,8203
L10414,Browns Mil,NJ,8015
L10415,Budd Lake,NJ,7828
L10416,Buena,NJ,8326
L10417,Buena,NJ,8341
L10418,Buena Vist,NJ,8310
L10419,Burlington,NJ,8016
L1042,Bonita,CA,91902
L10420,Byram Town,NJ,7821
L10421,Camden,NJ,8102
L10422,Camden,NJ,8103
L10423,Camden,NJ,8104
L10424,Camden,NJ,8105
L10425,Carteret,NJ,7008
L10426,Cedar Grov,NJ,7009
L10427,Chatham To,NJ,7928
L10428,Cherry Hil,NJ,8002
L10429,Cherry Hil,NJ,8003
L1043,Bonsall,CA,92003
L10430,Cherry Hil,NJ,8034
L10431,Chesilhurs,NJ,8089
L10432,Chester To,NJ,7930
L10433,Chesterfie,NJ,8515
L10434,Cinnaminso,NJ,8077
L10435,Clark,NJ,7066
L10436,Clayton,NJ,8312
L10437,Cliffside ,NJ,7010
L10438,Cliffwood,NJ,7721
L10439,Clifton,NJ,7011
L1044,Boron,CA,93516
L10440,Clifton,NJ,7012
L10441,Clifton,NJ,7013
L10442,Clifton,NJ,7014
L10443,Clinton To,NJ,8801
L10444,Clinton To,NJ,8809
L10445,Clinton To,NJ,8833
L10446,Closter,NJ,7624
L10447,Collingswo,NJ,8108
L10448,Colonia,NJ,7067
L10449,Colts Neck,NJ,7722
L1045,Borrego Sp,CA,92004
L10450,Cranbury T,NJ,8512
L10451,Cranford,NJ,7016
L10452,Cresskill,NJ,7626
L10453,Dayton,NJ,8810
L10454,Delaware T,NJ,8559
L10455,Delran,NJ,8075
L10456,Demarest,NJ,7627
L10457,Denville,NJ,7834
L10458,Deptford T,NJ,8096
L10459,Dover,NJ,7801
L1046,Bradley,CA,93426
L10460,Dover Beac,NJ,8751
L10461,Downe Town,NJ,8345
L10462,Dumont,NJ,7628
L10463,Eagleswood,NJ,8092
L10464,East Amwel,NJ,8551
L10465,East Bruns,NJ,8816
L10466,East Green,NJ,8020
L10467,East Green,NJ,8056
L10468,East Green,NJ,8061
L10469,East Hanov,NJ,7936
L1047,Brea,CA,92821
L10470,East Orang,NJ,7017
L10471,East Orang,NJ,7018
L10472,East Winds,NJ,8520
L10473,Edgewater,NJ,7020
L10474,Edgewater ,NJ,8010
L10475,Edison,NJ,8817
L10476,Edison,NJ,8820
L10477,Edison,NJ,8837
L10478,Egg Harbor,NJ,8234
L10479,Elizabeth,NJ,7201
L1048,Brea,CA,92823
L10480,Elizabeth,NJ,7202
L10481,Elizabeth,NJ,7206
L10482,Elizabeth,NJ,7208
L10483,Elk Townsh,NJ,8343
L10484,Emerson,NJ,7630
L10485,Englewood,NJ,7631
L10486,Englewood ,NJ,7632
L10487,Essex Fell,NJ,7021
L10488,Estell Man,NJ,8319
L10489,Evesham,NJ,8053
L1049,Brentwood,CA,94513
L10490,Ewing,NJ,8628
L10491,Ewing,NJ,8638
L10492,Fair Haven,NJ,7704
L10493,Fair Lawn,NJ,7410
L10494,Fairfield,NJ,7004
L10495,Fanwood,NJ,7023
L10496,Far Hills,NJ,7931
L10497,Farmingdal,NJ,7727
L10498,Florence-R,NJ,8518
L10499,Florence-R,NJ,8554
L105,Clanton,AL,35045
L1050,Bridgeport,CA,93517
L10500,Florham Pa,NJ,7932
L10501,Fords,NJ,8863
L10502,Fort Lee,NJ,7024
L10503,Franklin,NJ,7416
L10504,Franklin L,NJ,7417
L10505,Franklin T,NJ,8322
L10506,Franklin T,NJ,8328
L10507,Franklin T,NJ,8344
L10508,Franklin T,NJ,8823
L10509,Franklin T,NJ,8873
L1051,Brisbane,CA,94005
L10510,Freehold T,NJ,7728
L10511,Galloway,NJ,8205
L10512,Galloway,NJ,8215
L10513,Garwood,NJ,7027
L10514,Gibbsboro,NJ,8026
L10515,Gibbstown,NJ,8027
L10516,Glassboro,NJ,8028
L10517,Glen Ridge,NJ,7028
L10518,Glen Rock,NJ,7452
L10519,Glendora,NJ,8029
L1052,Browns Val,CA,95918
L10520,Gloucester,NJ,8030
L10521,Gloucester,NJ,8081
L10522,Green Broo,NJ,8812
L10523,Greenwich ,NJ,8886
L10524,Hackettsto,NJ,7840
L10525,Haddon Hei,NJ,8035
L10526,Hainesport,NJ,8036
L10527,Hamilton T,NJ,8330
L10528,Hamilton T,NJ,8610
L10529,Hammonton,NJ,8037
L1053,Buellton,CA,93427
L10530,Hampton,NJ,8827
L10531,Hanover,NJ,7927
L10532,Hanover,NJ,7981
L10533,Hardyston,NJ,7419
L10534,Hardyston,NJ,7460
L10535,Harrington,NJ,7640
L10536,Harrison T,NJ,8062
L10537,Hasbrouck ,NJ,7604
L10538,Haworth,NJ,7641
L10539,Hawthorne,NJ,7506
L1054,Buena Park,CA,90620
L10540,Hazlet,NJ,7730
L10541,Helmetta,NJ,8828
L10542,Hewitt,NJ,7421
L10543,High Bridg,NJ,8829
L10544,Highland L,NJ,7422
L10545,Highland P,NJ,8904
L10546,Highlands,NJ,7732
L10547,Hillsborou,NJ,8844
L10548,Hillsdale,NJ,7642
L10549,Hillside,NJ,7205
L1055,Buena Park,CA,90621
L10550,Ho Ho Kus,NJ,7423
L10551,Hoboken,NJ,7030
L10552,Holiday Ci,NJ,8757
L10553,Holland To,NJ,8848
L10554,Holmdel,NJ,7733
L10555,Hopatcong,NJ,7843
L10556,Hopewell T,NJ,8525
L10557,Hopewell T,NJ,8534
L10558,Hopewell T,NJ,8560
L10559,Howell,NJ,7731
L1056,Burbank,CA,91501
L10560,Irvington,NJ,7111
L10561,Iselin,NJ,8830
L10562,Island Hei,NJ,8732
L10563,Jackson,NJ,8527
L10564,Jefferson ,NJ,7438
L10565,Jefferson ,NJ,7849
L10566,Jersey Cit,NJ,7302
L10567,Jersey Cit,NJ,7304
L10568,Jersey Cit,NJ,7305
L10569,Jersey Cit,NJ,7306
L1057,Burbank,CA,91502
L10570,Jersey Cit,NJ,7307
L10571,Jersey Cit,NJ,7310
L10572,Keansburg,NJ,7734
L10573,Kearny,NJ,7032
L10574,Kenilworth,NJ,7033
L10575,Kingwood T,NJ,8825
L10576,Kinnelon,NJ,7405
L10577,Knowlton T,NJ,7832
L10578,Lacey,NJ,8731
L10579,Lacey,NJ,8734
L1058,Burbank,CA,91504
L10580,Lafayette,NJ,7848
L10581,Lakehurst,NJ,8733
L10582,Lakewood T,NJ,8701
L10583,Lambertvil,NJ,8530
L10584,Lawnside,NJ,8045
L10585,Lawrence,NJ,8648
L10586,Lawrence T,NJ,8311
L10587,Lebanon To,NJ,8826
L10588,Leonia,NJ,7605
L10589,Liberty To,NJ,7838
L1059,Burbank,CA,91505
L10590,Lincoln Pa,NJ,7035
L10591,Lincroft,NJ,7738
L10592,Linden,NJ,7036
L10593,Lindenwold,NJ,8021
L10594,Linwood,NJ,8221
L10595,Little Fal,NJ,7424
L10596,Little Sil,NJ,7739
L10597,Livingston,NJ,7039
L10598,Long Branc,NJ,7740
L10599,Long Hill ,NJ,7933
L106,Clanton,AL,35046
L1060,Burbank,CA,91506
L10600,Long Hill ,NJ,7946
L10601,Long Hill ,NJ,7980
L10602,Long Valle,NJ,7853
L10603,Lower Town,NJ,8204
L10604,Lumberton,NJ,8048
L10605,Madison,NJ,7940
L10606,Madison Pa,NJ,8859
L10607,Magnolia,NJ,8049
L10608,Mahwah,NJ,7430
L10609,Manalapan,NJ,7726
L1061,Burlingame,CA,94010
L10610,Manasquan,NJ,8736
L10611,Manchester,NJ,8759
L10612,Mansfield,NJ,8022
L10613,Mansfield ,NJ,7865
L10614,Mantolokin,NJ,8738
L10615,Mantua,NJ,8051
L10616,Manville,NJ,8835
L10617,Maple Shad,NJ,8052
L10618,Maplewood,NJ,7040
L10619,Marlboro,NJ,7746
L1062,Burney,CA,96013
L10620,Matawan,NJ,7747
L10621,Maywood,NJ,7607
L10622,Medford,NJ,8055
L10623,Mendham To,NJ,7945
L10624,Mercervill,NJ,8619
L10625,Mercervill,NJ,8690
L10626,Merchantvi,NJ,8109
L10627,Metuchen,NJ,8840
L10628,Middle Tow,NJ,8210
L10629,Middlesex,NJ,8846
L1063,Cabazon,CA,92230
L10630,Middletown,NJ,7718
L10631,Middletown,NJ,7737
L10632,Middletown,NJ,7748
L10633,Middletown,NJ,7758
L10634,Midland Pa,NJ,7432
L10635,Millburn,NJ,7041
L10636,Millstone ,NJ,8510
L10637,Millstone ,NJ,8535
L10638,Milltown,NJ,8850
L10639,Millville,NJ,8332
L1064,Calabasas,CA,91302
L10640,Mine Hill,NJ,7803
L10641,Monmouth B,NJ,7750
L10642,Monroe Tow,NJ,8094
L10643,Monroe Tow,NJ,8831
L10644,Montague,NJ,7827
L10645,Montclair,NJ,7042
L10646,Montclair,NJ,7043
L10647,Montgomery,NJ,8502
L10648,Montgomery,NJ,8558
L10649,Montvale,NJ,7645
L1065,California,CA,93505
L10650,Montville,NJ,7045
L10651,Montville,NJ,7058
L10652,Montville,NJ,7082
L10653,Moorestown,NJ,8057
L10654,Morganvill,NJ,7751
L10655,Morris Tow,NJ,7960
L10656,Mount Arli,NJ,7856
L10657,Mount Ephr,NJ,8059
L10658,Mountain L,NJ,7046
L10659,Mountainsi,NJ,7092
L1066,Calimesa,CA,92320
L10660,Mt Holly T,NJ,8060
L10661,Mt Laurel ,NJ,8054
L10662,Mt Olive T,NJ,7836
L10663,Mystic Isl,NJ,8087
L10664,National P,NJ,8063
L10665,Neptune,NJ,7753
L10666,Netcong,NJ,7857
L10667,New Brunsw,NJ,8901
L10668,New Milfor,NJ,7646
L10669,New Provid,NJ,7974
L1067,Calistoga,CA,94515
L10670,Newark,NJ,7102
L10671,Newark,NJ,7103
L10672,Newark,NJ,7104
L10673,Newark,NJ,7105
L10674,Newark,NJ,7106
L10675,Newark,NJ,7107
L10676,Newark,NJ,7108
L10677,Newark,NJ,7112
L10678,Newark,NJ,7114
L10679,Newton,NJ,7860
L1068,Camarillo,CA,93010
L10680,North Berg,NJ,7047
L10681,North Brun,NJ,8902
L10682,North Hale,NJ,7508
L10683,North Hano,NJ,8562
L10684,North Wild,NJ,8260
L10685,Northfield,NJ,8225
L10686,Northvale,NJ,7647
L10687,Norwood,NJ,7648
L10688,Nutley,NJ,7110
L10689,Oak Valley,NJ,8090
L1069,Camarillo,CA,93012
L10690,Oakhurst,NJ,7755
L10691,Oakland,NJ,7436
L10692,Oaklyn,NJ,8107
L10693,Ocean Acre,NJ,8050
L10694,Ocean City,NJ,8226
L10695,Ocean Gate,NJ,8740
L10696,Ocean Grov,NJ,7756
L10697,Ocean Town,NJ,8758
L10698,Oceanport,NJ,7757
L10699,Ogdensburg,NJ,7439
L107,Clay,AL,35126
L1070,Cambria,CA,93428
L10700,Old Bridge,NJ,8857
L10701,Oldmans,NJ,8067
L10702,Oradell,NJ,7649
L10703,Orange,NJ,7050
L10704,Oxford Tow,NJ,7863
L10705,Palisades ,NJ,7650
L10706,Palmyra,NJ,8065
L10707,Paramus,NJ,7652
L10708,Park Ridge,NJ,7656
L10709,Parsippany,NJ,7034
L1071,Camino,CA,95709
L10710,Parsippany,NJ,7054
L10711,Parsippany,NJ,7950
L10712,Passaic,NJ,7055
L10713,Paterson,NJ,7501
L10714,Paterson,NJ,7502
L10715,Paterson,NJ,7503
L10716,Paterson,NJ,7504
L10717,Paterson,NJ,7513
L10718,Paterson,NJ,7514
L10719,Paterson,NJ,7522
L1072,Campbell,CA,95008
L10720,Paterson,NJ,7524
L10721,Paulsboro,NJ,8066
L10722,Peapack,NJ,7934
L10723,Pemberton ,NJ,8068
L10724,Pennsauken,NJ,8110
L10725,Pequannock,NJ,7440
L10726,Pequannock,NJ,7444
L10727,Perth Ambo,NJ,8861
L10728,Phillipsbu,NJ,8865
L10729,Pine Beach,NJ,8741
L1073,Campo,CA,91906
L10730,Piscataway,NJ,8854
L10731,Pitman,NJ,8071
L10732,Plainfield,NJ,7060
L10733,Plainfield,NJ,7062
L10734,Plainfield,NJ,7063
L10735,Plainsboro,NJ,8536
L10736,Pleasantvi,NJ,8232
L10737,Plumsted,NJ,8533
L10738,Point Plea,NJ,8742
L10739,Pompton La,NJ,7442
L1074,Canyon Lak,CA,92587
L10740,Port Norri,NJ,8349
L10741,Port Readi,NJ,7064
L10742,Port Repub,NJ,8241
L10743,Princeton,NJ,8540
L10744,Princeton,NJ,8542
L10745,Rahway,NJ,7065
L10746,Ramsey,NJ,7446
L10747,Randolph,NJ,7869
L10748,Raritan,NJ,8869
L10749,Raritan To,NJ,8822
L1075,Capitola,CA,95010
L10750,Readington,NJ,8887
L10751,Red Bank,NJ,7701
L10752,Ridgewood,NJ,7450
L10753,Ringwood,NJ,7456
L10754,Rio Grande,NJ,8242
L10755,River Vale,NJ,7675
L10756,Riverdale,NJ,7457
L10757,Robbinsvil,NJ,8691
L10758,Rochelle P,NJ,7662
L10759,Rockaway T,NJ,7435
L1076,Carlsbad,CA,92008
L10760,Rockaway T,NJ,7866
L10761,Roseland,NJ,7068
L10762,Roselle,NJ,7203
L10763,Roselle Pa,NJ,7204
L10764,Roxbury To,NJ,7850
L10765,Roxbury To,NJ,7852
L10766,Rumson,NJ,7760
L10767,Runnemede,NJ,8078
L10768,Saddle Bro,NJ,7663
L10769,Sayreville,NJ,8872
L1077,Carlsbad,CA,92009
L10770,Scotch Pla,NJ,7076
L10771,Secaucus,NJ,7094
